url,targetedBrand,time
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://kgyd2.pages.dev/dp/B09TQ2YRFM/ref=lp_8497978011_1_5?pf_rd_p=53d84f87-8073-4df1-9740-1bf3fa798149&pf_rd_r=VRVBS0CTMWBFT755RRRS&sbo=RZvfv//HxDF+O5021pAnSA==,"Amazon.com Inc.",2024-09-15 18:30:30
https://microsoft.trusted-mail.live/3kjllsjqr2ydec4z/,"Outlook",2024-09-15 18:30:40
https://microsoft.trusted-mail.live/3kjllsjqr2ydec4z/,"Outlook",2024-09-15 18:30:40
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://clickhereecraigslist.tripod.com/,"Craigslist",2024-09-15 18:31:01
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://citizenqual.pages.dev/,"RBS Citizens Bank",2024-09-15 18:31:30
https://soodaryan.github.io/spotify-web-player-clone/index.html,"Spotify",2024-09-15 18:31:36
https://soodaryan.github.io/spotify-web-player-clone/index.html,"Spotify",2024-09-15 18:31:36
https://soodaryan.github.io/spotify-web-player-clone/index.html,"Spotify",2024-09-15 18:31:36
https://soodaryan.github.io/spotify-web-player-clone/index.html,"Spotify",2024-09-15 18:31:36
